co_code,nsesymbol,broker_name,sales,pat,ebitda,picked_type,expected_sales,expected_ebitda,expected_pat,ebitda_margin_percent,pat_margin_percent,sales_beat,pat_beat,ebitda_beat,sales_flag,pat_flag,ebitda_flag,overall_flag
237,HEROMOTOCO,Batlivala & Karani Securities India Pvt. Ltd.,9727.75,1705.65,1412.9,Consolidated,9940.1,1371.7,1062.7,13.8,10.7,-2.1362964155290225,60.50155264891315,3.00357220966684,Inline,Beat,Inline,Beat
4401,HIKAL,Batlivala & Karani Securities India Pvt. Ltd.,380.40000000000003,-22.4,25.1,Consolidated,443.5,72.3,13.5,16.3,3.0,-14.227733934611042,-265.9259259259259,-65.283540802213,Miss,Miss,Miss,Miss
252,HINDALCO,Batlivala & Karani Securities India Pvt. Ltd.,64232.0,4004.0,7906.0,Consolidated,63800.8,8676.9,4644.1,13.6,7.3,0.6758535943122924,-13.783079606382298,-8.884509444617313,Inline,Miss,Miss,Miss
252,HINDALCO,Nuvama Institutional Equities,64232.0,4004.0,7906.0,Consolidated,60178.7,8266.5,4741.4,13.7,7.9,6.735439615677978,-15.552368498755637,-4.360975019657654,Beat,Miss,Inline,Miss
2305,HINDPETRO,Batlivala & Karani Securities India Pvt. Ltd.,110767.4,4370.87,7601.7699999999995,Standalone,103589.0,10669.7,6660.2,10.3,6.4,6.9296933072044276,-34.373292093330534,-28.753666925967934,Beat,Miss,Miss,Miss
2305,HINDPETRO,Nuvama Institutional Equities,110767.4,4370.87,7601.7699999999995,Standalone,100971.1,6290.1,3357.3,6.2,3.3,9.702083071294645,30.190033657998978,20.852927616413076,Beat,Beat,Beat,Beat
255,HINDUNILVR,Nuvama Institutional Equities,15931.0,2732.0,3431.0,Standalone,16190.5,3691.2,2569.8,22.8,15.9,-1.6027917606003521,6.3117752354268735,-7.049198092761157,Inline,Beat,Miss,Beat
255,HINDUNILVR,Batlivala & Karani Securities India Pvt. Ltd.,16514.0,2768.0,3590.0,Consolidated,16296.4,3683.0,2536.5,22.6,15.6,1.3352642301367197,9.126749457914448,-2.5251153950583762,Inline,Beat,Inline,Beat
2307,HINDZINC,Nuvama Institutional Equities,7723.0,2204.0,3816.0,Standalone,7692.1,3787.5,2126.9,49.3,27.7,0.4017108461928425,3.6249941229018714,0.7524752475247525,Inline,Inline,Inline,Inline
1059,HNDFDS,Batlivala & Karani Securities India Pvt. Ltd.,994.69,31.73,80.01,Consolidated,954.9,78.3,30.1,8.2,3.2,4.166928474185787,5.415282392026575,2.183908045977022,Inline,Beat,Inline,Beat
71865,HOMEFIRST,Batlivala & Karani Securities India Pvt. Ltd.,453.61,118.89,159.22000000000003,Standalone,247.7,14.1,115.4,5.7,46.6,83.1287848203472,3.0242634315424564,1029.2198581560287,Beat,Inline,Beat,Inline
1131,HONAUT,Nuvama Institutional Equities,1183.1,124.6,141.5,Standalone,1056.4,163.7,144.9,15.5,13.7,11.993563044301382,-14.0096618357488,-13.561392791692114,Beat,Miss,Miss,Miss
5418,ICICIBANK,Axis Securities,42946.91,12768.21,10240.940000000002,Standalone,28500.0,17230.0,11693.0,60.5,41.0,50.690912280701774,9.195330539639093,-40.563319791062085,Beat,Beat,Miss,Beat
